protein_id,GOs_eggnog,ko_eggnog,GO_process,GO_component,GO_function,gene,GOs_interpro
WP_250123172.1,-,ko:K09772,['GO:0090529 - cell septum assembly [Evidence IEA]'],,,sepF,GO:0090529(InterPro)
WP_250123173.1,-,-,,,,None,-
WP_250123174.1,-,-,,,,None,-
WP_250123175.1,-,-,,,['GO:0016787 - hydrolase activity [Evidence IEA]'],None,GO:0016787(InterPro)
WP_250123176.1,-,ko:K06223,,,,None,-
WP_250123177.1,-,-,,,,None,-
WP_250123178.1,-,ko:K02834,['GO:0006396 - RNA processing [Evidence IEA]'],,['GO:0019843 - rRNA binding [Evidence IEA]'],rbfA,GO:0006364(InterPro)
WP_250123179.1,-,"ko:K01207,ko:K05349",['GO:0005975 - carbohydrate metabolic process [Evidence IEA]'],,"['GO:0004553 - hydrolase activity, hydrolyzing O-glycosyl compounds [Evidence IEA]']",None,GO:0004553(InterPro)|GO:0005975(InterPro)
WP_250123181.1,-,-,,,,None,-
WP_250123182.1,-,-,,,,cas12k,-
WP_250123183.1,-,-,['GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]'],,['GO:0003677 - DNA binding [Evidence IEA]'],None,GO:0003677(InterPro)|GO:0006355(InterPro)
WP_250123184.1,-,-,,,,None,-
WP_250123185.1,-,-,,,,None,-
WP_250123186.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250123187.1,-,ko:K01113,,,,None,-
WP_250123188.1,-,-,,,,None,-
WP_250123189.1,-,-,,,,None,GO:0005515(InterPro)
WP_250123190.1,-,-,"['GO:0006812 - monoatomic cation transport [Evidence IEA]', 'GO:0055085 - transmembrane transport [Evidence IEA]']",['GO:0016020 - membrane [Evidence IEA]'],,None,-
WP_250123191.1,-,-,,,,None,GO:0055085(PANTHER)
WP_250123192.1,-,ko:K09118,,,,None,GO:0005576(PANTHER)|GO:0016020(InterPro)
WP_250123193.1,-,-,,,,None,-
WP_250123194.1,-,ko:K03428,['GO:0015995 - chlorophyll biosynthetic process [Evidence IEA]'],,['GO:0046406 - magnesium protoporphyrin IX methyltransferase activity [Evidence IEA]'],bchM,GO:0015995(InterPro)|GO:0046406(InterPro)
WP_250123195.1,-,ko:K01443,['GO:0006040 - amino sugar metabolic process [Evidence IEA]'],,['GO:0008448 - N-acetylglucosamine-6-phosphate deacetylase activity [Evidence IEA]'],nagA,GO:0006044(InterPro)|GO:0008448(InterPro)
WP_250123196.1,-,ko:K01588,['GO:0009152 - purine ribonucleotide biosynthetic process [Evidence IEA]'],['GO:0009320 - phosphoribosylaminoimidazole carboxylase complex [Evidence IEA]'],['GO:0004638 - phosphoribosylaminoimidazole carboxylase activity [Evidence IEA]'],purE,-
WP_250123197.1,-,ko:K03320,,,,None,GO:0008519(InterPro)|GO:0016020(InterPro)|GO:0072488(InterPro)
WP_250123198.1,-,-,,,,None,-
WP_250123199.1,-,ko:K03527,,,,None,GO:0019288(InterPro)|GO:0046872(InterPro)|GO:0050992(InterPro)|GO:0051745(InterPro)
WP_250123200.1,-,ko:K01649,['GO:0009097 - isoleucine biosynthetic process [Evidence IEA]'],,['GO:0043714 - (R)-citramalate synthase activity [Evidence IEA]'],cimA,-
WP_250123201.1,-,-,,,,None,-
WP_250123202.1,-,ko:K07720,,,,None,GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
WP_250123203.1,-,ko:K06996,,,,None,-
WP_250123205.1,-,-,,,,None,-
WP_250123207.1,-,-,,,,None,GO:0016787(PANTHER)
WP_250123208.1,-,-,,,,None,-
WP_250123211.1,-,-,,,,None,-
WP_250123212.1,-,-,,,,None,-
WP_250123213.1,-,ko:K03676,,,['GO:0015036 - disulfide oxidoreductase activity [Evidence IEA]'],grxC,-
WP_250123214.1,"GO:0003674,GO:0003824,GO:0004363,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006518,GO:0006575,GO:0006749,GO:0006750,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0019184,GO:0034641,GO:0042398,GO:0043043,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044424,GO:0044464,GO:0051186,GO:0051188,GO:0071704,GO:1901564,GO:1901566,GO:1901576",ko:K01920,['GO:0006750 - glutathione biosynthetic process [Evidence IEA]'],,['GO:0004363 - glutathione synthase activity [Evidence IEA]'],gshB,GO:0005524(InterPro)|GO:0046872(InterPro)
WP_250123215.1,"GO:0000166,GO:0000910,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0007049,GO:0008150,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0022402,GO:0022607,GO:0032153,GO:0032506,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034622,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043933,GO:0044085,GO:0044424,GO:0044464,GO:0051258,GO:0051301,GO:0065003,GO:0071840,GO:0097159,GO:0097367,GO:1901265,GO:1901363",ko:K03531,['GO:0000910 - cytokinesis [Evidence IEA]'],,['GO:0003924 - GTPase activity [Evidence IEA]'],ftsZ,GO:0003924(InterPro)|GO:0005525(InterPro)
WP_250123216.1,-,ko:K03589,,,,None,GO:0005887(PANTHER)
WP_250123217.1,"GO:0000166,GO:0003674,GO:0003824,GO:0004107,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009423,GO:0009987,GO:0010181,GO:0016053,GO:0016829,GO:0016835,GO:0016838,GO:0019438,GO:0019752,GO:0032553,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",ko:K01736,['GO:0009073 - aromatic amino acid family biosynthetic process [Evidence IEA]'],,['GO:0004107 - chorismate synthase activity [Evidence IEA]'],aroC,GO:0004107(InterPro)|GO:0009073(InterPro)
WP_250123218.1,-,-,,,,None,GO:0003824(InterPro)|GO:0051536(InterPro)
WP_250123219.1,-,-,,,,None,-
WP_250123220.1,-,-,,,,None,GO:0009507(PANTHER)|GO:0080153(PANTHER)
WP_250123221.1,"GO:0003674,GO:0003824,GO:0006629,GO:0008150,GO:0008152,GO:0008202,GO:0016125,GO:0016491,GO:0044238,GO:0055114,GO:0071704,GO:1901360,GO:1901615",ko:K00493,,,,None,GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
WP_250123224.1,-,ko:K07494,,,,None,-
WP_250123225.1,-,ko:K13924,,,,None,-
WP_250123226.1,-,-,,,,None,-
WP_250123227.1,-,-,,,['GO:0005515 - protein binding [Evidence IEA]'],None,-
WP_250123228.1,-,-,,,,None,GO:0016310(InterPro)|GO:0016772(InterPro)
WP_250123229.1,-,-,['GO:0000160 - phosphorelay signal transduction system [Evidence IEA]'],,,None,-
WP_250123230.1,-,-,,,,None,-
WP_250123231.1,-,ko:K07496,,,,None,-
WP_250123232.1,-,-,,,,None,-
WP_250123233.1,-,ko:K07496,,,,None,-
WP_250123234.1,-,ko:K01113,,,,None,-
WP_250123235.1,-,ko:K01113,,,,None,-
WP_250123236.1,-,ko:K01113,,,,None,-
WP_250123237.1,-,-,,,,None,-
WP_250123238.1,-,ko:K07480,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250123239.1,-,-,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250123240.1,-,ko:K07480,,,,None,GO:0006313(PANTHER)
WP_250123241.1,-,-,,,,None,-
WP_250123243.1,-,ko:K17838,['GO:0030655 - beta-lactam antibiotic catabolic process [Evidence IEA]'],,['GO:0008800 - beta-lactamase activity [Evidence IEA]'],blaOXA,-
WP_250123244.1,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0008168,GO:0008757,GO:0016740,GO:0016741,GO:0032259,GO:0051741",ko:K18534,,,['GO:0008168 - methyltransferase activity [Evidence IEA]'],None,-
WP_250123246.1,-,-,,,,None,-
WP_250123247.1,-,ko:K19172,,,,None,-
WP_250123248.1,-,-,,,,None,-
WP_250123249.1,-,-,,,,None,-
WP_250123250.1,-,-,,,,None,-
WP_250123251.1,-,ko:K00655,,,,None,GO:0016746(InterPro)
WP_250123252.1,-,ko:K00645,['GO:0006633 - fatty acid biosynthetic process [Evidence IEA]'],,['GO:0004314 - [acyl-carrier-protein] S-malonyltransferase activity [Evidence IEA]'],fabD,-
WP_250123253.1,-,ko:K00648,,,,None,-
WP_250123254.1,-,ko:K03621,['GO:0008610 - lipid biosynthetic process [Evidence IEA]'],,['GO:0043811 - phosphate:acyl-[acyl carrier protein] acyltransferase activity [Evidence IEA]'],plsX,-
WP_250123255.1,-,ko:K04641,['GO:0006811 - monoatomic ion transport [Evidence IEA]'],['GO:0016020 - membrane [Evidence IEA]'],,None,GO:0016020(InterPro)
WP_250123256.1,-,-,,,,None,GO:0008745(InterPro)|GO:0009253(InterPro)
WP_250123257.1,-,-,,,,None,-
WP_250123258.1,-,ko:K00981,,,,None,-
WP_250123259.1,-,-,,,,None,GO:0006313(PANTHER)
WP_250123260.1,"GO:0003674,GO:0003824,GO:0004719,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006479,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008171,GO:0008213,GO:0008276,GO:0008757,GO:0009987,GO:0010340,GO:0016740,GO:0016741,GO:0019538,GO:0032259,GO:0036211,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0051998,GO:0071704,GO:0140096,GO:1901564",ko:K00573,['GO:0036211 - protein modification process [Evidence IEA]'],,['GO:0004719 - protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [Evidence IEA]'],None,-
WP_250123261.1,-,-,,,,None,-
WP_250123262.1,-,-,,,,None,-
WP_250123263.1,-,-,,,,None,GO:0003824(InterPro)|GO:0005975(InterPro)
WP_250123264.1,"GO:0003674,GO:0003824,GO:0016829,GO:0016830,GO:0016831,GO:0050545",ko:K05979,,,,None,GO:0000287(InterPro)|GO:0050532(InterPro)
WP_250123265.1,-,-,['GO:0015920 - lipopolysaccharide transport [Evidence IEA]'],['GO:0005886 - plasma membrane [Evidence IEA]'],['GO:0015221 - lipopolysaccharide transmembrane transporter activity [Evidence IEA]'],lptC,-
WP_250123266.1,-,-,,,,None,-
WP_250123267.1,"GO:0003674,GO:0003824,GO:0004812,GO:0004825,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006431,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",ko:K01874,['GO:0006431 - methionyl-tRNA aminoacylation [Evidence IEA]'],,"['GO:0000049 - tRNA binding [Evidence IEA]', 'GO:0004825 - methionine-tRNA ligase activity [Evidence IEA]', 'GO:0005524 - ATP binding [Evidence IEA]']",metG,GO:0000166(InterPro)|GO:0004825(InterPro)|GO:0005524(InterPro)|GO:0006431(InterPro)
WP_250123268.1,-,-,,,,None,GO:0016746(InterPro)
WP_250123269.1,-,-,,,,None,-
WP_250123270.1,-,"ko:K00261,ko:K00262",,,,None,-
WP_250123271.1,-,-,,,,None,-
WP_250123272.1,-,ko:K00012,,,,None,GO:0016616(InterPro)
WP_250123273.1,-,"ko:K01710,ko:K08678",,,,None,-
WP_250123274.1,-,-,"['GO:0006812 - monoatomic cation transport [Evidence IEA]', 'GO:0055085 - transmembrane transport [Evidence IEA]']",['GO:0016020 - membrane [Evidence IEA]'],,None,-
WP_250123275.1,-,"ko:K00970,ko:K00974",,,,None,-
WP_250123277.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797",ko:K02724,,"['GO:0009523 - photosystem II [Evidence IEA]', 'GO:0009538 - photosystem I reaction center [Evidence IEA]']",['GO:0003674 - molecular_function [Evidence IEA]'],psbZ,GO:0009523(InterPro)|GO:0009539(InterPro)|GO:0015979(InterPro)|GO:0042549(InterPro)
WP_250123279.1,"GO:0003674,GO:0003824,GO:0004350,GO:0008150,GO:0008152,GO:0016491,GO:0016620,GO:0016903,GO:0055114",ko:K00147,['GO:0006561 - proline biosynthetic process [Evidence IEA]'],,"['GO:0004350 - glutamate-5-semialdehyde dehydrogenase activity [Evidence IEA]', 'GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [Evidence IEA]']",None,GO:0016491(InterPro)
WP_250123280.1,-,ko:K00507,,,,None,GO:0016717(InterPro)
WP_250123281.1,-,ko:K01758,,,,None,-
WP_250123282.1,-,-,,,,None,-
WP_250123283.1,-,-,,,,None,-
WP_250123284.1,"GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030983,GO:0032300,GO:0032991,GO:0033554,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990391",ko:K07456,,,,None,GO:0004519(InterPro)|GO:0016887(InterPro)|GO:0030983(InterPro)|GO:0045910(InterPro)
WP_250123285.1,-,ko:K00088,,,['GO:0003938 - IMP dehydrogenase activity [Evidence IEA]'],None,GO:0003938(InterPro)|GO:0003938(PANTHER)|GO:0006164(InterPro)|GO:0006183(PANTHER)
WP_250123286.1,"GO:0003674,GO:0003824,GO:0004791,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0015035,GO:0015036,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0016671,GO:0019725,GO:0033554,GO:0034599,GO:0042221,GO:0042592,GO:0044424,GO:0044464,GO:0045454,GO:0047134,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748",ko:K03671,,['GO:0005737 - cytoplasm [Evidence IEA]'],['GO:0015036 - disulfide oxidoreductase activity [Evidence IEA]'],trxA,-
WP_250123287.1,-,ko:K06966,,,,None,GO:0005829(PANTHER)
WP_250123288.1,-,-,,,,None,-
WP_250123291.1,-,-,,,,None,-
WP_250123293.1,-,ko:K14645,,,,None,-
WP_250123295.1,-,-,,,,None,-
WP_250123296.1,-,-,,,,None,-
WP_250123297.1,-,-,,,,None,-
WP_250123298.1,-,-,['GO:0000160 - phosphorelay signal transduction system [Evidence IEA]'],,,None,-
WP_250123299.1,-,-,,,,None,-
WP_250123300.1,-,-,,,,None,-
WP_250123302.1,-,-,,,,None,-
WP_250123303.1,"GO:0000041,GO:0003674,GO:0005488,GO:0005507,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006825,GO:0008150,GO:0015677,GO:0016020,GO:0030001,GO:0043167,GO:0043169,GO:0044464,GO:0046872,GO:0046914,GO:0051179,GO:0051234,GO:0071944",ko:K17686,,,,None,-
WP_250123304.1,-,-,,,,None,-
WP_250123306.1,-,ko:K02564,,,,None,-
WP_250123307.1,-,ko:K01992,,,,None,-
WP_250123308.1,-,ko:K01990,,,,None,-
WP_250123309.1,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005975,GO:0006793,GO:0006796,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019150,GO:0019200,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044262,GO:0046835,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363",ko:K00854,,,,None,-
WP_250123310.1,-,ko:K02700,"['GO:0019684 - photosynthesis, light reaction [Evidence IEA]']",['GO:0009538 - photosystem I reaction center [Evidence IEA]'],['GO:0003674 - molecular_function [Evidence IEA]'],psaM,GO:0015979(InterPro)
WP_250123312.1,-,-,,,,None,GO:0005515(InterPro)
WP_250123314.1,-,"ko:K00799,ko:K11209",,,,None,-
WP_250123315.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797",ko:K02712,,,,None,GO:0009523(InterPro)|GO:0009539(InterPro)|GO:0015979(InterPro)
WP_250123316.1,-,ko:K08309,,,,None,-
WP_250123317.1,-,ko:K21600,,,,None,GO:0003677(InterPro)|GO:0006355(InterPro)|GO:0046872(InterPro)
WP_250123318.1,"GO:0003674,GO:0005488,GO:0005515,GO:0042802",-,,,,None,GO:0004252(PANTHER)|GO:0006508(PANTHER)
WP_250123319.1,"GO:0000428,GO:0005575,GO:0005622,GO:0005623,GO:0030880,GO:0032991,GO:0044424,GO:0044464,GO:0061695,GO:1902494,GO:1990234",ko:K03043,['GO:0006351 - DNA-templated transcription [Evidence IEA]'],['GO:0000345 - cytosolic DNA-directed RNA polymerase complex [Evidence IEA]'],"[""GO:0003899 - DNA-directed 5'-3' RNA polymerase activity [Evidence IEA]""]",rpoB,GO:0003899(InterPro)|GO:0006351(InterPro)|GO:0032549(InterPro)
WP_250123320.1,"GO:0003674,GO:0003824,GO:0004518,GO:0004536,GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016787,GO:0016788,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360,GO:1901361,GO:1901575",ko:K03424,,,,None,GO:0016788(InterPro)
WP_250123321.1,-,ko:K02968,['GO:0006412 - translation [Evidence IEA]'],"['GO:0000312 - plastid small ribosomal subunit [Evidence IEA]', 'GO:0022627 - cytosolic small ribosomal subunit [Evidence IEA]']",['GO:0003735 - structural constituent of ribosome [Evidence IEA]'],rpsT,GO:0003723(InterPro)|GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
WP_250123322.1,"GO:0000105,GO:0003674,GO:0003824,GO:0004399,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0052803,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",ko:K00013,['GO:0000105 - histidine biosynthetic process [Evidence IEA]'],,['GO:0004399 - histidinol dehydrogenase activity [Evidence IEA]'],hisD,GO:0016491(InterPro)
WP_250123323.1,-,-,,,,None,-
WP_250123326.1,-,ko:K17245,,,,None,-
WP_250123327.1,-,-,,,,None,-
WP_250123328.1,-,ko:K09800,['GO:0009306 - protein secretion [Evidence IEA]'],['GO:0005886 - plasma membrane [Evidence IEA]'],,None,-
WP_250123329.1,-,-,,,,None,-
WP_250123330.1,-,ko:K07106,"['GO:0006040 - amino sugar metabolic process [Evidence IEA]', 'GO:0009254 - peptidoglycan turnover [Evidence IEA]']",,['GO:0016835 - carbon-oxygen lyase activity [Evidence IEA]'],murQ,-
WP_250123332.1,-,-,,,,None,-
WP_250123333.1,-,-,,,,None,-
WP_250123334.1,-,ko:K02016,,,,None,-
WP_250123335.1,-,ko:K02014,['GO:0015891 - siderophore transport [Evidence IEA]'],['GO:0019867 - outer membrane [Evidence IEA]'],['GO:0015343 - siderophore-iron transmembrane transporter activity [Evidence IEA]'],None,-
WP_250123336.1,-,-,,,,None,-
WP_250123338.1,-,-,,,['GO:0016491 - oxidoreductase activity [Evidence IEA]'],None,GO:0016705(InterPro)
WP_250123339.1,-,-,,,,None,-
WP_250123340.1,-,ko:K07259,['GO:0006508 - proteolysis [Evidence IEA]'],,['GO:0004185 - serine-type carboxypeptidase activity [Evidence IEA]'],None,-
WP_250123341.1,-,"ko:K02428,ko:K02499",,,,mazG,GO:0047429(InterPro)
WP_250123342.1,-,-,,,,None,-
WP_250123343.1,-,-,,,,None,-
WP_250123344.1,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008987,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016053,GO:0017144,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0019805,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046496,GO:0046874,GO:0048037,GO:0051186,GO:0051188,GO:0051536,GO:0051539,GO:0051540,GO:0055086,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605",ko:K03517,['GO:0009435 - NAD biosynthetic process [Evidence IEA]'],,"['GO:0008987 - quinolinate synthetase A activity [Evidence IEA]', 'GO:0051539 - 4 iron, 4 sulfur cluster binding [Evidence IEA]']",nadA,GO:0008987(InterPro)|GO:0009435(InterPro)|GO:0051539(InterPro)
WP_250123345.1,-,-,,,['GO:0016787 - hydrolase activity [Evidence IEA]'],None,-
WP_250123346.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",ko:K03568,,,,None,-
WP_250123347.1,-,-,,,,None,-
WP_250123348.1,-,-,,,,None,-
WP_250123349.1,-,-,,,,None,-
WP_250123350.1,-,ko:K02703,,"['GO:0009538 - photosystem I reaction center [Evidence IEA]', 'GO:0009539 - photosystem II reaction center [Evidence IEA]']",['GO:0009055 - electron transfer activity [Evidence IEA]'],psbA,GO:0009523(PANTHER)|GO:0009535(PANTHER)|GO:0009772(InterPro)|GO:0019684(InterPro)|GO:0045156(InterPro)
WP_250123350.1,-,ko:K02703,,"['GO:0009538 - photosystem I reaction center [Evidence IEA]', 'GO:0009539 - photosystem II reaction center [Evidence IEA]']",['GO:0009055 - electron transfer activity [Evidence IEA]'],psbA,GO:0009523(PANTHER)|GO:0009535(PANTHER)|GO:0009772(InterPro)|GO:0019684(InterPro)|GO:0045156(InterPro)
WP_250123351.1,"GO:0003674,GO:0003824,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016740,GO:0016765,GO:0044237,GO:0044249,GO:0044689,GO:0051186,GO:0051188",ko:K11780,,,,cofG,GO:0003824(InterPro)|GO:0051536(InterPro)
WP_250123352.1,-,-,,,,None,GO:0000160(InterPro)
WP_250123353.1,-,-,,,,None,-
WP_250123354.1,-,-,,,,None,-
WP_250123355.1,-,-,,,,None,-
WP_250123357.1,-,-,,,,None,-
WP_250123358.1,-,ko:K06148,,,,None,GO:0005524(InterPro)|GO:0016887(InterPro)
WP_250123360.1,-,-,,,,None,-
WP_250123361.1,-,ko:K06147,,,,None,GO:0005524(InterPro)|GO:0006508(InterPro)|GO:0008233(InterPro)|GO:0016020(InterPro)
WP_250123362.1,-,-,,,,None,-
WP_250123363.1,-,-,,,,None,-
WP_250123364.1,-,-,,,,None,-
WP_250123365.1,-,-,,,,None,-
WP_250123367.1,-,-,,,,None,-
WP_250123368.1,-,ko:K06148,,,,None,GO:0005524(InterPro)|GO:0016887(InterPro)
WP_250123370.1,-,-,,,,None,-
WP_250123371.1,-,-,,,,None,-
WP_250123373.1,-,ko:K07263,,,,None,-
WP_250123374.1,-,ko:K07263,,,,None,GO:0004222(InterPro)|GO:0006508(InterPro)
WP_250123375.1,-,-,,,,None,GO:0003677(InterPro)
WP_250123377.1,-,"ko:K01262,ko:K01271",,,,None,GO:0004177(PANTHER)|GO:0005829(PANTHER)|GO:0006508(PANTHER)|GO:0008233(PANTHER)
WP_250123378.1,-,-,,,,None,-
WP_250123380.1,-,ko:K03090,,,,None,-
WP_250123381.1,-,ko:K06890,,,,None,-
WP_250123382.1,-,-,,,,None,-
WP_250123383.1,-,ko:K07042,['GO:0042254 - ribosome biogenesis [Evidence IEA]'],,"['GO:0004540 - ribonuclease activity [Evidence IEA]', 'GO:0046872 - metal ion binding [Evidence IEA]']",ybeY,GO:0004222(InterPro)|GO:0006364(InterPro)
WP_250123384.1,-,ko:K00901,,,,None,GO:0008654(InterPro)|GO:0016020(InterPro)|GO:0016301(InterPro)
WP_250123385.1,-,"ko:K01658,ko:K01664",,,,None,GO:0000162(PANTHER)|GO:0004049(PANTHER)|GO:0005829(PANTHER)
WP_250123386.1,-,-,,,,None,-
WP_250123387.1,-,ko:K01262,,,"['GO:0030145 - manganese ion binding [Evidence IEA]', 'GO:0070006 - metalloaminopeptidase activity [Evidence IEA]']",None,-
